model,arm,task,lang,press,kept,sample_id,value,origin,match_type
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,13,707628,TARGET_NEAR_COPY,levenshtein
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,14,2166941,TARGET_EXACT,exact
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,15,5855124,TARGET_EXACT,exact
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,17,712086,TARGET_NEAR_COPY,prefix
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,18,4511451,ENTIRELY_NOVEL,none
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,19,3871238,TARGET_NEAR_COPY,levenshtein
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,21,466846,ENTIRELY_NOVEL,none
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,22,153853,TARGET_NEAR_COPY,levenshtein
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,23,2111064,ENTIRELY_NOVEL,none
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,29,1790481,TARGET_EXACT,exact
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,30,3684652,TARGET_NEAR_COPY,levenshtein
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,33,2921852,TARGET_NEAR_COPY,levenshtein
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,34,6707697,TARGET_NEAR_COPY,levenshtein
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,35,365365,ENTIRELY_NOVEL,none
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,38,727237237237237237237237237237237237237237237237237237237237,ENTIRELY_NOVEL,none
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,40,708969,ENTIRELY_NOVEL,none
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,42,915356,TARGET_NEAR_COPY,prefix
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,44,9852639,ENTIRELY_NOVEL,none
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,49,4694636,TARGET_NEAR_COPY,levenshtein
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,50,198783,TARGET_NEAR_COPY,levenshtein
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,51,65436789,TARGET_NEAR_COPY,levenshtein
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,52,9143910,TARGET_NEAR_COPY,levenshtein
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,53,893010,TARGET_NEAR_COPY,prefix
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,55,823183,TARGET_NEAR_COPY,prefix
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,57,775548,ENTIRELY_NOVEL,none
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,59,807996,TARGET_NEAR_COPY,levenshtein
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,60,5199608,ENTIRELY_NOVEL,none
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,60,5199609,ENTIRELY_NOVEL,none
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,60,5199610,ENTIRELY_NOVEL,none
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,60,5199611,ENTIRELY_NOVEL,none
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,63,9075986,ENTIRELY_NOVEL,none
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,64,376257623762576237625762376257623762576237625762376257623762,ENTIRELY_NOVEL,none
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,66,916491,TARGET_NEAR_COPY,levenshtein
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,67,465246,TARGET_NEAR_COPY,levenshtein
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,68,626154,ENTIRELY_NOVEL,none
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,70,9511951,ENTIRELY_NOVEL,none
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,74,442609,TARGET_NEAR_COPY,levenshtein
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,75,7640184,TARGET_EXACT,exact
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,76,630457,TARGET_NEAR_COPY,prefix
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,77,2677407,TARGET_EXACT,exact
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,79,5098509,ENTIRELY_NOVEL,none
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,81,9874152,TARGET_EXACT,exact
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,84,572785,TARGET_NEAR_COPY,levenshtein
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,85,6752675,TARGET_NEAR_COPY,levenshtein
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,86,9196204,TARGET_EXACT,exact
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,88,6596150,TARGET_EXACT,exact
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,89,8412769,TARGET_EXACT,exact
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,90,1162230,TARGET_EXACT,exact
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,91,3575894,ENTIRELY_NOVEL,none
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,92,346852,ENTIRELY_NOVEL,none
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,96,372637,TARGET_NEAR_COPY,levenshtein
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,97,400917,TARGET_NEAR_COPY,prefix
llama31-8b,qa,niah_none,en,none,1.0,4,4905582,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,4,2338687,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,4,2694522,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,4,5855124,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,13,7693979,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,13,6229731,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,13,4374754,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,13,7264956,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,18,7818496,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,18,3790237,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,18,9147706,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,18,4965789,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,21,1666754,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,21,5130808,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,21,2375453,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,21,3011363,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,25,5428914,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,25,9479356,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,25,6752576,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,26,3710895,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,26,5394880,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,26,8412769,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,26,3194789,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,29,1649691,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,29,8896868,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,29,2813543,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,29,7417985,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,35,2422633,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,35,3846949,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,35,5761145,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,35,8938746,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,36,8971465,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,36,5107776,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,36,1775337,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,36,2221854,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,38,8425149,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,38,6323376,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,38,9468772,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,38,9910914,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,48,9488613,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,48,2156902,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,48,6724909,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,48,7217147,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,49,9753457,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,49,5531230,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,49,8306261,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,50,8563202,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,50,5679639,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,50,5091349,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,50,2453962,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,51,5334434,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,51,6952975,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,51,4558780,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,51,6709938,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,52,8519121,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,52,5031966,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,52,9234615,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,52,8987516,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,53,9907391,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,53,8939993,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,53,6767292,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,53,7191135,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,54,3005795,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,54,9990305,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,54,6294016,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,54,4231028,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,57,2914064,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,57,2096280,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,57,5235884,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,57,9014965,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,58,7982241,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,58,2987287,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,58,4786401,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,58,5163953,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,60,1547605,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,60,5886520,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,60,4883526,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,60,8883823,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,62,6101803,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,62,8863447,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,62,7752972,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,62,3086308,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,66,9633492,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,66,7780932,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,66,1019311,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,66,2944841,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,67,4415140,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,67,1865901,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,67,5480460,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,67,8416216,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,68,1229419,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,68,6213522,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,68,3657144,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,68,7844947,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,70,5634662,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,70,2171218,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,70,7961578,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,70,3290229,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,71,8491822,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,71,3493017,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,71,9125900,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,71,9214801,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,73,2672884,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,73,838711,DISTRACTOR_NEAR_COPY,prefix
llama31-8b,qa,niah_none,en,none,1.0,74,6512415,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,74,2347467,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,74,7668663,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,74,9952696,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,78,8664433,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,78,5195951,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,78,6068760,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,78,8118722,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,85,8610879,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,85,7520395,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,85,7224540,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,85,3276065,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,86,7216461,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,86,1548888,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,86,4645180,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,86,5693260,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,87,3049499,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,87,4184459,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,87,8628891,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,87,5628522,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,88,4623062,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,88,4909069,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,88,2151087,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,88,4475523,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,89,1432519,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,89,3211291,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,89,1249314,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,89,2844258,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,92,2101965,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,92,3488628,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,93,2663938,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,93,8217547,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,93,9481739,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,94,8159911,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,94,6243691,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,94,6243275,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,94,2595275,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,98,3380261,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,98,2167449,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,98,1514340,DISTRACTOR_EXACT,exact
llama31-8b,qa,niah_none,en,none,1.0,98,7724045,DISTRACTOR_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,0,2867825,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,1,4744854,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,2,2458591,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,3,1499914,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,4,9478454,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,5,4335942,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,6,8536477,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,7,3678638,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,8,3608513,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,9,2556017,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,10,6770619,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,11,8707870,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,12,2322047,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,13,7067228,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,14,2166941,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,15,5855124,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,16,7377459,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,17,7120868,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,18,4514944,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,19,3871230,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,20,8755439,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,21,4684531,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,22,1538552,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,23,2110460,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,24,9375710,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,25,5443951,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,26,5408072,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,27,7700828,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,28,9548432,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,29,1790481,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,30,3684052,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,31,7402509,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,32,5218028,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,33,2921859,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,34,6707197,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,35,3653446,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,36,5418934,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,37,2785277,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,38,7273233,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,39,6438436,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,40,7089806,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,41,5041154,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,42,9153566,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,43,8973915,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,44,9852897,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,45,4374754,TARGET_EXACT,exact
llama31-8b,joint,niah_single,zh,snapkv,0.25,46,7264956,TARGET_EXACT,exact
