[21:32:08] ===== stage=status ts=20260728_213208 ctx=32768 attn=sdpa seed_default=42 =====
[21:32:11] env: datasets==5.0.0 | kvpress==0.5.4 | torch==2.13.0 | transformers==5.2.0 -> /vol/logs/env_status_20260728_213208.txt
[21:32:12] llama31-8b/joint/niah_single  en none           kept=1.0   [########################] 100/100 (100.0%) | ETA   0.0m 
[21:32:19] llama31-8b/joint/niah_single  ko none           kept=1.0   [########################] 100/100 (100.0%) | ETA   0.0m 
[21:32:20] llama31-8b/joint/niah_single  ko snapkv         kept=0.5   [########################] 100/100 (100.0%) | ETA   0.0m 
[21:32:20] llama31-8b/joint/niah_single  ko snapkv         kept=0.25  [########################] 100/100 (100.0%) | ETA   0.0m 
[21:32:21] llama31-8b/joint/niah_single  ko streaming_llm  kept=0.5   [########................] 36/100 (36.0%) | ETA   0.3m 
[21:32:21] llama31-8b/joint/niah_single  ko streaming_llm  kept=0.25  [........................] 0/100 ( 0.0%) | ETA  15.7m 
[21:32:21] llama31-8b/joint/niah_single  ko knorm          kept=0.5   [........................] 0/100 ( 0.0%) | ETA  15.7m 
[21:32:21] llama31-8b/joint/niah_single  ko knorm          kept=0.25  [........................] 0/100 ( 0.0%) | ETA  15.7m 
[21:32:21] llama31-8b/joint/niah_single  vi none           kept=1.0   [########################] 100/100 (100.0%) | ETA   0.0m 
[21:32:22] llama31-8b/joint/niah_single  vi snapkv         kept=0.5   [########################] 100/100 (100.0%) | ETA   0.0m 
[21:32:22] llama31-8b/joint/niah_single  vi snapkv         kept=0.25  [########################] 100/100 (100.0%) | ETA   0.0m 
[21:32:23] llama31-8b/joint/niah_single  vi streaming_llm  kept=0.5   [#######.................] 32/100 (32.0%) | ETA   0.4m 
[21:32:23] llama31-8b/joint/niah_single  vi streaming_llm  kept=0.25  [........................] 0/100 ( 0.0%) | ETA  18.9m 
[21:32:23] llama31-8b/joint/niah_single  vi knorm          kept=0.5   [........................] 0/100 ( 0.0%) | ETA  18.9m 
[21:32:23] llama31-8b/joint/niah_single  vi knorm          kept=0.25  [........................] 0/100 ( 0.0%) | ETA  18.9m 
[21:32:23] llama31-8b/joint/niah_single  sw none           kept=1.0   [########################] 100/100 (100.0%) | ETA   0.0m 
[21:32:24] llama31-8b/joint/niah_single  sw snapkv         kept=0.5   [########################] 100/100 (100.0%) | ETA   0.0m 
[21:32:24] llama31-8b/joint/niah_single  sw snapkv         kept=0.25  [########################] 100/100 (100.0%) | ETA   0.0m 
[21:32:24] llama31-8b/joint/niah_single  sw streaming_llm  kept=0.5   [########................] 34/100 (34.0%) | ETA   0.4m 
[21:32:24] llama31-8b/joint/niah_single  sw streaming_llm  kept=0.25  [........................] 0/100 ( 0.0%) | ETA  21.6m 
[21:32:24] llama31-8b/joint/niah_single  sw knorm          kept=0.5   [........................] 0/100 ( 0.0%) | ETA  21.6m 
[21:32:24] llama31-8b/joint/niah_single  sw knorm          kept=0.25  [........................] 0/100 ( 0.0%) | ETA  21.6m 
[21:32:24] OVERALL: 2422/4900 samples (49.4%)
