model,press,kept,redundancy_metric,k_langs,rho,exact_p,leave_one_out,q_bh
qwen25-7b-1m,knorm,0.25,implied_repeats,7,0.4505,0.3111,"{""en"": 0.406, ""pl"": 0.406, ""zh"": 0.429, ""ja"": 0.986, ""ko"": 0.116, ""vi"": 0.406, ""sw"": 0.429}",0.7110857142857142
qwen25-7b-1m,knorm,0.25,dup_sentence_frac,7,0.4505,0.3111,"{""en"": 0.406, ""pl"": 0.406, ""zh"": 0.429, ""ja"": 0.986, ""ko"": 0.116, ""vi"": 0.406, ""sw"": 0.429}",0.7110857142857142
qwen25-7b-1m,knorm,0.25,distinct_char_48gram,7,-0.2023,0.6429,"{""en"": -0.257, ""pl"": -0.257, ""zh"": -0.169, ""ja"": -0.257, ""ko"": 0.531, ""vi"": -0.257, ""sw"": -0.655}",0.8944695652173913
qwen25-7b-1m,knorm,0.25,gzip_ratio,7,-0.8469,0.0254,"{""en"": -0.899, ""pl"": -0.899, ""zh"": -0.829, ""ja"": -0.754, ""ko"": -0.754, ""vi"": -0.754, ""sw"": -1.0}",0.30464
qwen25-7b-1m,knorm,0.5,implied_repeats,7,0.5,0.2667,"{""en"": 0.714, ""pl"": 0.486, ""zh"": 0.6, ""ja"": 0.6, ""ko"": 0.2, ""vi"": 0.314, ""sw"": 0.486}",0.7110857142857142
qwen25-7b-1m,knorm,0.5,dup_sentence_frac,7,0.5,0.2667,"{""en"": 0.714, ""pl"": 0.486, ""zh"": 0.6, ""ja"": 0.6, ""ko"": 0.2, ""vi"": 0.314, ""sw"": 0.486}",0.7110857142857142
qwen25-7b-1m,knorm,0.5,distinct_char_48gram,7,-0.1336,0.8095,"{""en"": -0.169, ""pl"": -0.169, ""zh"": -0.169, ""ja"": -0.169, ""ko"": 0.655, ""vi"": -0.169, ""sw"": -0.655}",0.89568
qwen25-7b-1m,knorm,0.5,gzip_ratio,7,-0.3929,0.3956,"{""en"": -0.486, ""pl"": -0.714, ""zh"": -0.314, ""ja"": -0.314, ""ko"": -0.029, ""vi"": -0.314, ""sw"": -0.486}",0.7582476190476191
qwen25-7b-1m,snapkv,0.25,implied_repeats,7,0.0714,0.9063,"{""en"": 0.086, ""pl"": 0.257, ""zh"": 0.143, ""ja"": -0.029, ""ko"": -0.486, ""vi"": 0.371, ""sw"": 0.143}",0.9063
qwen25-7b-1m,snapkv,0.25,dup_sentence_frac,7,0.0714,0.9063,"{""en"": 0.086, ""pl"": 0.257, ""zh"": 0.143, ""ja"": -0.029, ""ko"": -0.486, ""vi"": 0.371, ""sw"": 0.143}",0.9063
qwen25-7b-1m,snapkv,0.25,distinct_char_48gram,7,-0.8018,0.0476,"{""en"": -0.845, ""pl"": -0.845, ""zh"": -0.845, ""ja"": -0.845, ""ko"": -0.655, ""vi"": -0.845, ""sw"": -0.655}",0.30464
qwen25-7b-1m,snapkv,0.25,gzip_ratio,7,-0.1786,0.7131,"{""en"": -0.257, ""pl"": -0.086, ""zh"": -0.371, ""ja"": -0.257, ""ko"": 0.314, ""vi"": -0.429, ""sw"": -0.143}",0.89568
qwen25-7b-1m,snapkv,0.5,implied_repeats,7,0.3214,0.4976,"{""en"": 0.371, ""pl"": 0.371, ""zh"": 0.2, ""ja"": 0.2, ""ko"": -0.086, ""vi"": 0.771, ""sw"": 0.371}",0.7582476190476191
qwen25-7b-1m,snapkv,0.5,dup_sentence_frac,7,0.3214,0.4976,"{""en"": 0.371, ""pl"": 0.371, ""zh"": 0.2, ""ja"": 0.2, ""ko"": -0.086, ""vi"": 0.771, ""sw"": 0.371}",0.7582476190476191
qwen25-7b-1m,snapkv,0.5,distinct_char_48gram,7,-0.8018,0.0476,"{""en"": -0.845, ""pl"": -0.845, ""zh"": -0.845, ""ja"": -0.845, ""ko"": -0.655, ""vi"": -0.845, ""sw"": -0.655}",0.30464
qwen25-7b-1m,snapkv,0.5,gzip_ratio,7,-0.1071,0.8397,"{""en"": -0.143, ""pl"": -0.143, ""zh"": -0.086, ""ja"": -0.371, ""ko"": 0.429, ""vi"": -0.371, ""sw"": -0.086}",0.89568
